Font Name;Original Font Name and Repository;ver;*RFN
0xProto;0xProto;1.603;NO
3270;3270;3.0.1;NO
Agave;Agave;37;NO
AnonymousPro;Anonymous Pro;1.002;YES
Arimo;Arimo;1.33;NO
AurulentSansMono;Aurulent Sans Mono (Stephen G. Hartke);;NO
BigBlueTerminal;BigBlueTerminal (VileR);;NO
BitstreamVeraSansMono;Vera Sans Mono (Bitstream Inc);1.1;YES
IBMPlexMono;IBM Plex Mono;2.004;YES
CascadiaCode;Cascadia Code;2111.01;YES
CascadiaMono;Cascadia Mono;2111.01;YES
CodeNewRoman;Code New Roman (Sam Radian);2.0;NO
ComicShannsMono;Comic Shanns Mono;1.3.1;NO
CommitMono;Commit Mono;1.143;NO
Cousine;Cousine;1.211;NO
D2Coding;D2Coding;1.3.2;NO
DaddyTimeMono;DaddyTimeMono;1.2.3;NO
DejaVuSansMono;DejaVu;2.37;NO
DroidSansMono;Droid Sans Mono (Ascender Corp);1.00-113;NO
EnvyCodeR;Envy Code R;0.79;YES
FantasqueSansMono;Fantasque Sans Mono;1.8.0;NO
FiraCode;Fira Code;6.2;NO
FiraMono;Fira Mono;3.206;NO
FontPatcher;Font Patcher;??;??
GeistMono;Geist Mono;1.200;NO
Go-Mono;Go-Mono;2.010;NO
Gohu;Gohu TTF, Gohu;2.0;NO
Hack;Hack;3.003;NO
Hasklig;Hasklig;1.2;YES
HeavyData;HeavyData (Vic Fieger);1;NO
Hermit;Hermit;2.0;YES
iA-Writer;iA-Writer;Dec 2018;YES
Inconsolata;Inconsolata;3.000;NO
InconsolataGo;InconsolataGo;1.013;NO
InconsolataLGC;Inconsolata LGC;1.5.2;NO
IntelOneMono;Intel One Mono;1.3.0;YES
Iosevka;Iosevka;29.0.4;NO
IosevkaTerm;Iosevka Term;29.0.4;NO
IosevkaTermSlab;Iosevka Term Slab;29.0.4;NO
JetBrainsMono;JetBrains Mono;2.304;NO
Lekton;Lekton;34;NO
LiberationMono;Liberation;2.1.5;YES
Lilex;Lilex;2.400;NO
MartianMono;MartianMono;1.0.0;NO
Meslo;Meslo;1.21;NO
Monaspace;Monaspace;1.0.0;YES
Monofur;Monofur (Tobias B Koehler);1.0;NO
Monoid;Monoid;0.61;NO
Mononoki;Mononoki;1.6;YES
MPlus;MPlus Fonts;2023/09;NO
NerdFontsSymbolsOnly;Nerd Fonts Symbols Only;??;??
Noto;Noto;div;NO
OpenDyslexic;OpenDyslexic;2.001;NO
Overpass;Overpass;3.0.5;NO
ProFont;ProFont;2.3, 2.2;NO
ProggyClean;ProggyClean (Tristan Grimmer);2004/04/15;NO
Recursive;Recursive Mono;1.085;NO
RobotoMono;Roboto Mono;3.0;NO
SourceCodePro;Source Code Pro;2.042;YES
ShareTechMono;Share Tech Mono;1.003;YES
SpaceMono;Space Mono;1.001;NO
Terminus;Terminus TTF;4.49.3;YES
Tinos;Tinos;1.23;NO
Ubuntu;Ubuntu Font;0.83;NO
UbuntuMono;Ubuntu Mono Font;0.80;NO
UbuntuSans;Ubuntu Sans;1.004;NO
VictorMono;Victor Mono;1.5.6;NO
ZedMono;Zed Mono;1.2.0;NO
